order_id,ship_date,sku,qty,item_ids,status
SO-1001,2025-08-17,SKU-5566,2,"[""PALT-0001"",""PALT-0002""]",pending
SO-1002,2025-08-17,SKU-8899,1,"[""PALT-0003""]",pending
SO-1003,2025-08-18,SKU-7777,3,"[""PALT-0004"",""PALT-0005"",""PALT-0006""]",pending
SO-1004,2025-08-17,SKU-5566,1,"[""PALT-0007""]",shipped
SO-1005,2025-08-18,SKU-9999,2,"[""PALT-0008"",""PALT-0009""]",pending
SO-1006,2025-08-17,SKU-1234,1,"[""PALT-0015""]",pending
SO-1007,2025-08-19,SKU-5566,1,"[""PALT-0010""]",pending
SO-1008,2025-08-18,SKU-8899,2,"[""PALT-0011"",""PALT-0012""]",pending
SO-1009,2025-08-17,SKU-7777,1,"[""PALT-0013""]",shipped
SO-1010,2025-08-19,SKU-9999,1,"[""PALT-0014""]",pending
SO-1011,2025-08-20,SKU-3333,2,"[""PALT-0016"",""PALT-0017""]",pending
SO-1012,2025-08-20,SKU-4444,1,"[""PALT-0018""]",pending
SO-1013,2025-08-21,SKU-5555,3,"[""PALT-0019"",""PALT-0020"",""PALT-0021""]",pending
SO-1014,2025-08-21,SKU-6666,1,"[""PALT-0022""]",pending
SO-1015,2025-08-22,SKU-7777,2,"[""PALT-0023"",""PALT-0024""]",pending
SO-1016,2025-08-22,SKU-8888,1,"[""PALT-0025""]",pending
SO-1017,2025-08-23,SKU-9999,1,"[""PALT-0026""]",pending
SO-1018,2025-08-23,SKU-1111,2,"[""PALT-0027"",""PALT-0028""]",pending
SO-1019,2025-08-24,SKU-2222,1,"[""PALT-0029""]",pending
SO-1020,2025-08-24,SKU-3333,1,"[""PALT-0030""]",pending
SO-1021,2025-08-25,SKU-4444,2,"[""PALT-0031"",""PALT-0032""]",pending
SO-1022,2025-08-25,SKU-5555,1,"[""PALT-0033""]",pending
SO-1023,2025-08-26,SKU-6666,3,"[""PALT-0034"",""PALT-0035"",""PALT-0036""]",pending
SO-1024,2025-08-26,SKU-7777,1,"[""PALT-0037""]",pending
SO-1025,2025-08-27,SKU-8888,2,"[""PALT-0038"",""PALT-0039""]",pending
SO-1026,2025-08-27,SKU-9999,1,"[""PALT-0040""]",pending
SO-1027,2025-08-28,SKU-1111,1,"[""PALT-0041""]",pending
SO-1028,2025-08-28,SKU-2222,2,"[""PALT-0042"",""PALT-0043""]",pending
SO-1029,2025-08-29,SKU-3333,1,"[""PALT-0044""]",pending
SO-1030,2025-08-29,SKU-4444,1,"[""PALT-0045""]",pending
